category,image_name,rank,algorithm,original_std,processed_std,std_delta,ambe,psnr,contrast_effect,ranking_score
summary,Malignant case (421)_ruido.jpg,MEJOR_GENERAL,1,Enhanced Top-Hat 9x9,73.9579,78.4832,4.5252,0.5435,23.7068,increase,40.1552

ranking,Malignant case (51)_bajo_contraste.jpg,,,,,,,,,
ranking,Malignant case (51)_bajo_contraste.jpg,1,Enhanced Top-Hat 10x10,66.2381,69.4088,3.1707,0.5347,25.3844,increase,35.7062
ranking,Malignant case (51)_bajo_contraste.jpg,2,Enhanced Top-Hat 9x9,66.2381,69.0788,2.8407,0.7611,26.0504,increase,35.4614
ranking,Malignant case (51)_bajo_contraste.jpg,3,Enhanced Top-Hat 7x7,66.2381,68.7327,2.4946,0.9299,27.066,increase,35.2547
ranking,Malignant case (51)_bajo_contraste.jpg,4,Enhanced Top-Hat 3x3,66.2381,66.6137,0.3756,0.1265,38.443,increase,35.1658
ranking,Malignant case (51)_bajo_contraste.jpg,5,Enhanced Top-Hat 5x5,66.2381,67.819,1.5808,0.6174,30.3699,increase,35.1193
ranking,Malignant case (51)_bajo_contraste.jpg,6,CLAHE clip 1.5,66.2381,63.6059,-2.6322,0.0815,28.8876,decrease,33.2066
ranking,Malignant case (51)_bajo_contraste.jpg,7,Bilateral + CLAHE + Unsharp,66.2381,61.473,-4.7651,1.5139,24.1209,decrease,31.1856
ranking,Malignant case (51)_bajo_contraste.jpg,8,CLAHE clip 3,66.2381,61.4991,-4.739,2.5609,24.1286,decrease,30.6755
ranking,Malignant case (51)_bajo_contraste.jpg,9,CLAHE clip 3.0,66.2381,61.4991,-4.739,2.5609,24.1286,decrease,30.6755
ranking,Malignant case (51)_bajo_contraste.jpg,10,Homomorphic + CLAHE + Enhanced Top-Hat,66.2381,55.9374,-10.3007,22.4324,13.7256,decrease,17.4388
ranking,Malignant case (51)_bajo_contraste.jpg,11,HE,66.2381,67.6813,1.4432,52.5233,11.5467,increase,8.1563
ranking,Malignant case (51)_bajo_contraste.jpg,12,Gamma + CLAHE + Multi-scale White Top-Hat,66.2381,28.7276,-37.5105,65.5299,9.1696,decrease,-17.9427
ranking,Malignant case (51)_bajo_contraste.jpg,13,White Top-Hat 10x10,66.2381,24.0762,-42.1619,74.6283,8.4746,decrease,-24.8523
ranking,Malignant case (51)_bajo_contraste.jpg,14,White Top-Hat 9x9,66.2381,23.7017,-42.5364,75.2827,8.394,decrease,-25.3708
ranking,Malignant case (51)_bajo_contraste.jpg,15,White Top-Hat 7x7,66.2381,22.5512,-43.6869,76.2155,8.2943,decrease,-26.4174
ranking,Malignant case (51)_bajo_contraste.jpg,16,White Top-Hat 5x5,66.2381,15.4757,-50.7624,78.4882,8.0911,decrease,-31.1017
ranking,Malignant case (51)_bajo_contraste.jpg,17,Black Top-Hat 10x10,66.2381,9.0349,-57.2032,77.9767,7.9674,decrease,-34.0725
ranking,Malignant case (51)_bajo_contraste.jpg,18,Black Top-Hat 9x9,66.2381,7.6245,-58.6136,78.7447,7.9117,decrease,-35.1645
ranking,Malignant case (51)_bajo_contraste.jpg,19,Black Top-Hat 7x7,66.2381,6.041,-60.1971,79.6115,7.8463,decrease,-36.3929
ranking,Malignant case (51)_bajo_contraste.jpg,20,Black Top-Hat 5x5,66.2381,4.0445,-62.1936,80.6397,7.7717,decrease,-37.909
ranking,Malignant case (51)_bajo_contraste.jpg,21,White Top-Hat 3x3,66.2381,4.1685,-62.0696,81.3171,7.772,decrease,-38.1857
ranking,Malignant case (51)_bajo_contraste.jpg,22,Black Top-Hat 3x3,66.2381,1.8094,-64.4287,81.7512,7.6919,decrease,-39.5863


category,image_name,section,rank,algorithm,original_std,processed_std,std_delta,ambe,psnr,contrast_effect,ranking_score
summary,Malignant case (51)_bajo_contraste.jpg,MEJOR_CONTRASTE,1,Enhanced Top-Hat 10x10,66.2381,69.4088,3.1707,0.5347,25.3844,increase,35.7062
summary,Malignant case (51)_bajo_contraste.jpg,MEJOR_BRILLO,6,CLAHE clip 1.5,66.2381,63.6059,-2.6322,0.0815,28.8876,decrease,33.2066
summary,Malignant case (51)_bajo_contraste.jpg,MENOR_DISTORSION,4,Enhanced Top-Hat 3x3,66.2381,66.6137,0.3756,0.1265,38.443,increase,35.1658
summary,Malignant case (51)_bajo_contraste.jpg,MEJOR_GENERAL,1,Enhanced Top-Hat 10x10,66.2381,69.4088,3.1707,0.5347,25.3844,increase,35.7062

ranking,Malignant case (52)_bajo_contraste.jpg,,,,,,,,,
ranking,Malignant case (52)_bajo_contraste.jpg,1,Enhanced Top-Hat 10x10,63.9926,67.3069,3.3144,0.7755,26.0342,increase,34.5674
ranking,Malignant case (52)_bajo_contraste.jpg,2,Enhanced Top-Hat 9x9,63.9926,66.9681,2.9756,0.9868,26.6146,increase,34.3214
ranking,Malignant case (52)_bajo_contraste.jpg,3,Enhanced Top-Hat 7x7,63.9926,66.5739,2.5813,1.1206,27.5296,increase,34.1031
ranking,Malignant case (52)_bajo_contraste.jpg,4,Enhanced Top-Hat 3x3,63.9926,64.3413,0.3488,0.1448,38.9031,increase,34.0434
ranking,Malignant case (52)_bajo_contraste.jpg,5,Enhanced Top-Hat 5x5,63.9926,65.6229,1.6303,0.72,30.7639,increase,33.9896
ranking,Malignant case (52)_bajo_contraste.jpg,6,CLAHE clip 1.5,63.9926,62.2487,-1.7438,0.6581,30.088,decrease,32.2997
ranking,Malignant case (52)_bajo_contraste.jpg,7,Bilateral + CLAHE + Unsharp,63.9926,60.392,-3.6006,0.3892,25.385,decrease,31.2707
ranking,Malignant case (52)_bajo_contraste.jpg,8,CLAHE clip 3,63.9926,60.5389,-3.4537,3.8968,25.2715,decrease,29.5847
ranking,Malignant case (52)_bajo_contraste.jpg,9,CLAHE clip 3.0,63.9926,60.5389,-3.4537,3.8968,25.2715,decrease,29.5847
ranking,Malignant case (52)_bajo_contraste.jpg,10,Homomorphic + CLAHE + Enhanced Top-Hat,63.9926,56.0005,-7.9921,20.364,14.1699,decrease,18.5267
ranking,Malignant case (52)_bajo_contraste.jpg,11,HE,63.9926,67.6657,3.6732,55.4103,11.1714,increase,6.6863
ranking,Malignant case (52)_bajo_contraste.jpg,12,Gamma + CLAHE + Multi-scale White Top-Hat,63.9926,27.9301,-36.0625,63.2409,9.5078,decrease,-17.18
ranking,Malignant case (52)_bajo_contraste.jpg,13,White Top-Hat 10x10,63.9926,24.1122,-39.8803,71.8772,8.8253,decrease,-23.4412
ranking,Malignant case (52)_bajo_contraste.jpg,14,White Top-Hat 9x9,63.9926,23.7959,-40.1967,72.5007,8.7442,decrease,-23.9152
ranking,Malignant case (52)_bajo_contraste.jpg,15,White Top-Hat 7x7,63.9926,22.7064,-41.2862,73.426,8.638,decrease,-24.9279
ranking,Malignant case (52)_bajo_contraste.jpg,16,White Top-Hat 5x5,63.9926,15.5732,-48.4193,75.7349,8.415,decrease,-29.6601
ranking,Malignant case (52)_bajo_contraste.jpg,17,Black Top-Hat 10x10,63.9926,7.348,-56.6445,75.6111,8.2284,decrease,-33.7201
ranking,Malignant case (52)_bajo_contraste.jpg,18,Black Top-Hat 9x9,63.9926,6.0145,-57.9781,76.3266,8.1802,decrease,-34.747
ranking,Malignant case (52)_bajo_contraste.jpg,19,Black Top-Hat 7x7,63.9926,4.668,-59.3245,77.1217,8.1249,decrease,-35.8206
ranking,Malignant case (52)_bajo_contraste.jpg,20,White Top-Hat 3x3,63.9926,4.1754,-59.8172,78.5631,8.0758,decrease,-36.7901
ranking,Malignant case (52)_bajo_contraste.jpg,21,Black Top-Hat 5x5,63.9926,3.2224,-60.7701,78.0289,8.0598,decrease,-37.0002
ranking,Malignant case (52)_bajo_contraste.jpg,22,Black Top-Hat 3x3,63.9926,1.6118,-62.3807,79.0298,7.988,decrease,-38.3096


category,image_name,section,rank,algorithm,original_std,processed_std,std_delta,ambe,psnr,contrast_effect,ranking_score
summary,Malignant case (52)_bajo_contraste.jpg,MEJOR_CONTRASTE,11,HE,63.9926,67.6657,3.6732,55.4103,11.1714,increase,6.6863
summary,Malignant case (52)_bajo_contraste.jpg,MEJOR_BRILLO,4,Enhanced Top-Hat 3x3,63.9926,64.3413,0.3488,0.1448,38.9031,increase,34.0434
summary,Malignant case (52)_bajo_contraste.jpg,MENOR_DISTORSION,4,Enhanced Top-Hat 3x3,63.9926,64.3413,0.3488,0.1448,38.9031,increase,34.0434
summary,Malignant case (52)_bajo_contraste.jpg,MEJOR_GENERAL,1,Enhanced Top-Hat 10x10,63.9926,67.3069,3.3144,0.7755,26.0342,increase,34.5674


notes
mejor_contraste,La version donde los detalles se ven mas marcados y la separacion entre zonas claras y oscuras es mayor.
mejor_brillo,"La version que conserva el brillo mas parecido al original, sin aclarar ni oscurecer demasiado."
menor_distorsion,La version que cambia menos respecto a la imagen original y conserva mejor su apariencia general.
mejor_general,"La version que ofrece el mejor equilibrio entre contraste, brillo y similitud con la imagen original."
ranking_score,"Puntaje compuesto usado para ordenar los algoritmos: favorece contraste y similitud, y penaliza cambios de brillo. Formula: ranking_score = (processed_std * 0.5) + (PSNR * 0.05) - (AMBE * 0.5)."
std_original,"Desviacion estandar de la imagen original, usada como referencia del contraste inicial."
std_procesada,"Desviacion estandar despues del procesamiento, usada como aproximacion del contraste obtenido."
ambe,Cambio absoluto del brillo medio respecto a la imagen original.
psnr,Medida de similitud entre la imagen original y la procesada.
